"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=140"">Cold Iron Armor (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","5","140 gp (+14 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=146"">Silver Armor (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","5","140 gp (+14 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=140"">Cold Iron Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","11","1,200 gp (+120 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=1416"">Inubrix Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","11","1,200 gp (+120 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=146"">Silver Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","11","1,200 gp (+120 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=139"">Adamantine Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=141"">Darkwood Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=142"">Dragonhide Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=144"">Mithral Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=1420"">Noqual Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=1424"">Siccatite Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,600 gp (+160 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=1411"">Djezet Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,800 gp (+180 gp per Bulk)","—","—"
"<u><a href=""Equipment.aspx?ID=1475"">Grisantian Pelt Armor (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=107"" title=""Monsters of Myth"">Monsters of Myth</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=11"">Armor</a></u>","<u><a href=""Equipment.aspx?Category=11&Subcategory=12"">Precious Material Armor</a></u>","12","1,800 gp (+180 gp per Bulk)","—","—"
