"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=1104"">Blast Boots (Lesser)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=405"">Gadget</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=71"">Gadgets</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1107"">Clockwork Goggles</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=405"">Gadget</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=71"">Gadgets</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1108"">Cryomister (Lesser)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=27"">Cold</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=405"">Gadget</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=71"">Gadgets</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=862"">Emergency Disguise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=155"">Talisman</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=19"">Talismans</a></u>","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=244"">Feather Token (Ladder)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=20"">Other Consumables</a></u>","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=714"">Gecko Potion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=130"">Potion</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=18"">Potions</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=245"">Holy Water</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=48"">Divine</a></u>, <u><a href=""Traits.aspx?ID=83"">Good</a></u>, <u><a href=""Traits.aspx?ID=150"">Splash</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=20"">Other Consumables</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1115"">Impact Foam Chassis (Lesser)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=405"">Gadget</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=71"">Gadgets</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=174"">Nectar of Purification</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>, <u><a href=""Traits.aspx?ID=121"">Oil</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=17"">Oils</a></u>","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=230"">Owlbear Claw</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=155"">Talisman</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=19"">Talismans</a></u>","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=720"">Potion of Expeditious Retreat</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=130"">Potion</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=15"">Consumables</a></u>","<u><a href=""Equipment.aspx?Category=15&Subcategory=18"">Potions</a></u>","1","3 gp","L","—"
