"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=1219"">Portable Weapon Mount (Monopod)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=82"">Stabilizers</a></u>","1","2 sp","1","—"
"<u><a href=""Equipment.aspx?ID=1217"">Gunner's Saddle</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=82"">Stabilizers</a></u>","2","20 gp","2","—"
"<u><a href=""Equipment.aspx?ID=1222"">Breech Ejectors</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=77"">Firing Mechanisms</a></u>","3","10 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1219"">Portable Weapon Mount (Tripod, Shielded)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=82"">Stabilizers</a></u>","3","50 gp","5","—"
"<u><a href=""Equipment.aspx?ID=1210"">Immaculate Holsters</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=81"">Holsters</a></u>","3","52 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1209"">Gunner's Bandolier</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=81"">Holsters</a></u>","3","60 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1214"">Magnifying Scope</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","3","70 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1220"">Air Cartridge Firing System</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=77"">Firing Mechanisms</a></u>","4","75 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1223"">Large Bore Modifications</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=77"">Firing Mechanisms</a></u>","5","120 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1212"">Darkvision Scope</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","5","160 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1224"">Underwater Firing Mechanism</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=77"">Firing Mechanisms</a></u>","9","600 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1213"">Magnetite Scope</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","9","800 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1214"">Magnifying Scope (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","9","800 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1218"">Immovable Tripod</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=82"">Stabilizers</a></u>","10","700 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1215"">Scope of Limning</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","10","900 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1216"">Scope of Truth</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=75"">Customizations</a></u>","<u><a href=""Equipment.aspx?Category=75&Subcategory=76"">Scopes</a></u>","13","3,000 gp","L","—"
