"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=1389"">Presentable</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","3","50 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1386"">Called</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","3","60 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1390"">Snagging</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","3","60 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1391"">Soft-Landing</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","3","60 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1387"">Dragon's Breath (1st-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","4","100 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1388"">Paired</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=156"">Teleportation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","5","150 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1387"">Dragon's Breath (2nd-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","6","250 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1393"">Wind-Catcher</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","7","350 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1387"">Dragon's Breath (3rd-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","8","500 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1388"">Paired (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=156"">Teleportation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","9","650 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1389"">Presentable (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","10","900 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1387"">Dragon's Breath (4th-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","10","1,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1387"">Dragon's Breath (5th-Level Spell)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","12","2,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1392"">Spell-Bastion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","13","2,700 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1388"">Paired (Major)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=156"">Teleportation</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","13","2,750 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1393"">Wind-Catcher (Greater)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=65"">Evocation</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=23"">Runes</a></u>","<u><a href=""Equipment.aspx?Category=23&Subcategory=78"">Accessory Runes</a></u>","14","4,250 gp","—","—"
