"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=311"">Cold Iron Buckler (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","2","30 gp","L","—"
"<u><a href=""Equipment.aspx?ID=316"">Silver Buckler (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","2","30 gp","L","—"
"<u><a href=""Equipment.aspx?ID=311"">Cold Iron Shield (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","2","34 gp","1","—"
"<u><a href=""Equipment.aspx?ID=316"">Silver Shield (Low-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","2","34 gp","1","—"
"<u><a href=""Equipment.aspx?ID=311"">Cold Iron Buckler (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","300 gp","L","—"
"<u><a href=""Equipment.aspx?ID=316"">Silver Buckler (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","300 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1417"">Inubrix Buckler (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","320 gp","L","—"
"<u><a href=""Equipment.aspx?ID=311"">Cold Iron Shield (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","340 gp","1","—"
"<u><a href=""Equipment.aspx?ID=316"">Silver Shield (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","340 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1417"">Inubrix Shield (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","7","352 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1408"">Abysium Buckler (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","8","400 gp","L","—"
"<u><a href=""Equipment.aspx?ID=310"">Adamantine Buckler (Standard-Grade)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","—","<u><a href=""Equipment.aspx?Category=28"">Shields</a></u>","<u><a href=""Equipment.aspx?Category=28&Subcategory=29"">Precious Material Shields</a></u>","8","400 gp","L","—"
