"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=328"">Alarm Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1486"">Appetizing Flavor Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=107"" title=""Monsters of Myth"">Monsters of Myth</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1509"">Battering Snare</a></u>","—","<u><a href=""Sources.aspx?ID=112"" title=""Pathfinder #175: Broken Tusk Moon"">Pathfinder #175</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=188"">Nonlethal</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=332"">Caltrop Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=576"">Dust Pods</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=21"" title=""Pathfinder #151: The Show Must Go On"">Pathfinder #151</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","Extinction Curse"
"<u><a href=""Equipment.aspx?ID=336"">Hampering Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=339"">Marking Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=342"">Signaling Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1520"">Smoke Screen Snare (Lesser)</a></u>","—","<u><a href=""Sources.aspx?ID=113"" title=""Pathfinder #176: Lost Mammoth Valley"">Pathfinder #176</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","L","—"
"<u><a href=""Equipment.aspx?ID=343"">Spike Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","3 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1512"">Poison Barbs Snare</a></u>","—","<u><a href=""Sources.aspx?ID=112"" title=""Pathfinder #175: Broken Tusk Moon"">Pathfinder #175</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","1","4 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1124"">Clockwork  Monkey</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=331"">Clockwork</a></u>, <u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","2","5 gp","—","—"
"<u><a href=""Equipment.aspx?ID=703"">Flare Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>, <u><a href=""Traits.aspx?ID=163"">Visual</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","2","5 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1251"">Deadweight Snare</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=36"">Consumable</a></u>, <u><a href=""Traits.aspx?ID=224"">Kobold</a></u>, <u><a href=""Traits.aspx?ID=105"">Mechanical</a></u>, <u><a href=""Traits.aspx?ID=146"">Snare</a></u>, <u><a href=""Traits.aspx?ID=158"">Trap</a></u>","<u><a href=""Equipment.aspx?Category=31"">Snares</a></u>","—","2","6 gp","—","—"
