"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=587"">Marvelous Calliope</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=23"" title=""Pathfinder #152: Legacy of the Lost God"">Pathfinder #152</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","4","100 gp","L","Extinction Curse"
"<u><a href=""Equipment.aspx?ID=367"">Pocket Stage</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","5","138 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1282"">Private Workshop</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","6","200 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1071"">Restful Tent</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","7","320 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1275"">Portable Gaming Hall</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","8","500 gp","L","—"
"<u><a href=""Equipment.aspx?ID=509"">Gourd Home</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=67"">Extradimensional</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","9","650 gp","L","<u><a href=""Setting.aspx?Group=2"">Age of Ashes</a></u>"
"<u><a href=""Equipment.aspx?ID=365"">Explorer's Yurt</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","10","880 gp","1","—"
"<u><a href=""Equipment.aspx?ID=1295"">Stone Circle</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","10","1,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1265"">Wizard's Tower</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","13","2,500 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1374"">Memory Palace</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=100"" title=""Grand Bazaar"">Grand Bazaar</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=33"">Conjuration</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=153"">Structure</a></u>","<u><a href=""Equipment.aspx?Category=33"">Structures</a></u>","—","14","4,200 gp","—","—"
