"Name","PFS","Source","Rarity","Traits","Category","Subcategory","Level","Price","Bulk","Spoilers?"
"<u><a href=""Equipment.aspx?ID=397"">Anklets of Alacrity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=398"">Belt of Giant Strength</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","L","—"
"<u><a href=""Equipment.aspx?ID=399"">Belt of Regeneration</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","L","—"
"<u><a href=""Equipment.aspx?ID=400"">Circlet of Persuasion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=401"">Diadem of Intellect</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","L","—"
"<u><a href=""Equipment.aspx?ID=402"">Headband of Inspired Wisdom</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=2"">Abjuration</a></u>, <u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","17","15,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1038"">Archivist's Gaze</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","18","24,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1054"">Emberheart</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","18","24,000 gp","—","—"
"<u><a href=""Equipment.aspx?ID=1066"">Mask of Allure</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=61"">Enchantment</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","18","24,000 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1067"">Mercurial Mantle</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=157"">Transmutation</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","18","24,000 gp","L","—"
"<u><a href=""Equipment.aspx?ID=1072"">Sage's Lash</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=10"">Apex</a></u>, <u><a href=""Traits.aspx?ID=98"">Invested</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>","<u><a href=""Equipment.aspx?Category=41"">Worn Items</a></u>","<u><a href=""Equipment.aspx?Category=41&Subcategory=42"">Apex Items</a></u>","18","24,000 gp","1","—"
